,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,celltype
C6orf118,0.016,0.984,4.119036559975269,3.265368e-06,1.4009769e-05,0.00039303824,0.5,-0.1748483,0.022630692,2.80246,-12.793712,7.869544,0.0058839386,0.04378454,1.0,1.0,0.057339765,0.33654767,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
RAB36,0.0162,0.9838,4.106410775003808,1.0206916e-05,2.878713e-05,0.00039303824,0.5,-1.1240704,-1.1847291,2.079006,-9.416439,6.6094446,0.025220554,0.1476868,1.0,1.0,0.24400005,1.2710412,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
IL13RA2,0.0162,0.9838,4.106410775003808,7.007858e-06,1.5621372e-05,0.00039303824,0.5,-0.16508552,-0.053913116,2.7562966,-10.166153,8.449321,0.0056472113,0.06298143,1.0,1.0,0.05407552,0.5092772,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
ADAMTS4,0.0164,0.9836,4.093937375922708,1.7547345e-05,2.233143e-05,0.00039303824,0.5,0.50568426,0.47088385,2.5688467,-7.4279165,8.434973,0.033158306,0.11247118,1.0,1.0,0.330532,0.9464002,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
ROBO4,0.0164,0.9836,4.093937375922708,2.1715307e-05,1.832064e-05,0.00039303824,0.5,1.4833941,1.6922283,2.7449257,-8.689192,9.495023,0.050669853,0.09163686,1.0,1.0,0.52531934,0.74938405,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
CHAC1,0.0166,0.9834,4.081612667374687,1.8960305e-05,4.4116427e-05,0.00039303824,0.5,-1.218683,-1.1880212,1.6613718,-6.8263073,4.27816,0.049658757,0.27218044,1.0,1.0,0.5031063,2.6478806,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
LGALS7,0.0166,0.9834,4.081612667374687,7.731849e-06,2.5187886e-05,0.00039303824,0.5,0.19874488,0.30208397,3.1304834,-11.946922,10.950376,0.023932463,0.09411725,1.0,1.0,0.23843527,0.80919695,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
KLK10,0.0166,0.9834,4.081612667374687,4.2880665e-06,1.9203644e-05,0.00039303824,0.5,-0.45729375,-0.27598476,2.4711447,-12.435741,9.678305,0.024947723,0.08358266,1.0,1.0,0.25184506,0.74878937,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
TNNC1,0.0168,0.9832,4.069433086775564,6.563439e-06,1.8445455e-05,0.00039303824,0.5,-1.0443081,-1.0312996,2.3697984,-9.678893,8.281393,0.01909329,0.12961188,1.0,1.0,0.1859912,1.1379672,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
PARD6G-AS1,0.0168,0.9832,4.069433086775564,1.8718078e-05,2.3048071e-05,0.00039303824,0.5,0.44820777,0.49257421,1.9852232,-8.599734,7.3104324,0.1466325,0.17805141,1.0,1.0,1.568966,1.6191989,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
UGT2B15,0.0168,0.9832,4.069433086775564,3.133213e-06,1.3355114e-05,0.00039303824,0.5,-0.039070677,0.08897495,2.4900036,-11.571923,10.499956,0.009819278,0.06924059,1.0,1.0,0.09432094,0.62046593,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
ONECUT2,0.017,0.983,4.057395198028769,3.8482317e-06,1.25414435e-05,0.00039303824,0.5,-0.97558105,-0.94980526,2.505045,-11.56088,8.215069,0.008138988,0.07364726,1.0,1.0,0.07873139,0.64842635,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
HSD17B6,0.017,0.983,4.057395198028769,1.2900688e-05,3.371535e-05,0.00039303824,0.5,-0.7800262,-0.8130212,2.1867924,-9.296435,6.2170715,0.043947667,0.23033004,1.0,1.0,0.4259298,2.0458868,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
TRIM31,0.017,0.983,4.057395198028769,1.2692828e-05,2.1844677e-05,0.00039303824,0.5,-0.3342675,-0.34625196,2.7699225,-10.403673,8.402524,0.033363037,0.13561879,1.0,1.0,0.32928947,1.1953726,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
WNT2,0.017,0.983,4.057395198028769,7.2452426e-06,1.310232e-05,0.00039303824,0.5,-0.07463592,-0.0020065308,2.56154,-9.21772,7.9150467,0.008787769,0.07362344,1.0,1.0,0.08634403,0.65859145,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
GJB3,0.017,0.983,4.057395198028769,4.419063e-06,1.4344816e-05,0.00039303824,0.5,-0.86680186,-0.6289215,2.5825381,-9.349394,8.071419,0.011656011,0.09494958,1.0,1.0,0.10782238,0.82104164,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
FXYD4,0.017,0.983,4.057395198028769,6.481278e-06,9.987328e-06,0.00039303824,0.5,-0.046423662,0.025115013,3.0415468,-11.309475,9.726862,0.01468887,0.092014514,1.0,1.0,0.13769123,0.80767107,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
TRBV15,0.0154,0.9846,4.157867318710487,1.6272512e-05,3.793062e-05,0.00039303824,0.5,-0.8450403,-1.0912695,2.8593225,-8.045601,8.294795,0.043963466,0.440291,1.0,1.0,0.43635324,4.099996,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
PROK2,0.0172,0.9828,-4.045495685607447,3.3223838e-05,3.6055197e-05,0.00039303824,0.5,0.059113074,-0.005332947,2.9593098,-8.315338,8.873372,0.1712225,0.13602297,1.0,1.0,1.8764327,1.3072573,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
PIP,0.0154,0.9846,4.157867318710487,5.1891207e-06,1.2971489e-05,0.00039303824,0.5,-0.40532285,-0.18687248,2.6761749,-9.953541,8.71252,0.020680707,0.10207034,1.0,1.0,0.19104938,0.85131556,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
IGKV1OR2-108,0.0152,0.9848,4.171142499277839,4.2838333e-06,1.6340788e-05,0.00039303824,0.5,-0.9971378,-0.6440153,3.1921117,-11.38986,8.641527,0.0068612825,0.05287146,1.0,1.0,0.06757059,0.6838052,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
DLL4,0.0138,0.9862,4.269189867129379,2.3900335e-05,2.0974825e-05,0.00039303824,0.5,0.8962658,0.9429207,2.61143,-8.6887045,10.041861,0.031716093,0.111181974,1.0,1.0,0.30917582,0.95616573,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
TRAV35,0.0138,0.9862,4.269189867129379,1.6716589e-05,3.5234658e-05,0.00039303824,0.5,-0.6783149,-1.0182171,2.7846832,-8.322677,10.713388,0.021531748,0.3428262,1.0,1.0,0.21292804,3.2149982,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
CCL15,0.0138,0.9862,4.269189867129379,8.955963e-06,1.4611539e-05,0.00039303824,0.5,0.5071929,0.51437855,3.0785403,-11.039139,8.643246,0.039643858,0.10292575,1.0,1.0,0.42767775,0.86415184,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
LDLRAD1,0.014,0.986,4.254598320843906,5.072015e-06,1.41381815e-05,0.00039303824,0.5,-0.2847542,-0.09966755,2.8656468,-11.664681,8.740158,0.011487645,0.07330404,1.0,1.0,0.111378334,0.602663,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
PCSK2,0.014,0.986,4.254598320843906,1.1360941e-05,1.8251705e-05,0.00039303824,0.5,0.09876758,0.0004787445,3.8669932,-11.241801,9.635649,0.032421798,0.13500485,1.0,1.0,0.3217801,1.2322679,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
KRT14,0.014,0.986,4.254598320843906,3.5770122e-06,1.6106102e-05,0.00039303824,0.5,-0.38042685,-0.11032009,2.600039,-11.572315,8.6752615,0.017435664,0.079615146,1.0,1.0,0.17114757,0.69390154,False,Tcm/Naive cytotoxic T cells vs Rest,Tcm/Naive cytotoxic T cells,Rest,Tcm/Naive cytotoxic T cells
