names,scores,logfoldchanges,pvals,pvals_adj,tested_group
PKMYT1,-0.7399583,-25.171282,0.45932530468350774,1.0,Lymphatic EC
WEE1,-1.1440294,-0.8517904,0.25261146285822367,1.0,Lymphatic EC
PPP2R2A,-1.2842717,-0.6414078,0.19904690342732212,1.0,Lymphatic EC
TXNRD1,-3.7104845,-1.6639421,0.00020686298011659453,0.006583677303626023,Lymphatic EC
TXN,-9.0983925,-1.7808079,9.167885586988957e-20,3.1781533220249565e-17,Lymphatic EC
PKMYT1,-0.6625892,-25.171282,0.5075937066905447,1.0,Basal cells
PPP2R2A,-0.740738,-0.1707108,0.4588523311619902,1.0,Basal cells
WEE1,-0.87267566,-0.8990264,0.38283988017058235,1.0,Basal cells
TXNRD1,-4.2141213,-2.4675927,2.5075260577889842e-05,0.0020107503437779067,Basal cells
TXN,-8.4752445,-2.0440943,2.3458664904304707e-17,1.3910370954965736e-14,Basal cells
WEE1,1.031682,0.47993675,0.3022210914430862,1.0,Secretory club cells
PPP2R2A,0.13194498,-0.1450738,0.8950278059083187,1.0,Secretory club cells
PKMYT1,-0.9294451,-25.171282,0.3526584765930676,1.0,Secretory club cells
TXNRD1,-6.548817,-3.0465765,5.7994614247839396e-11,6.469270509141412e-09,Secretory club cells
TXN,-13.824237,-2.6876938,1.820324639434599e-43,1.7526027967534015e-40,Secretory club cells
WEE1,4.6560607,1.3113203,3.2231730291715888e-06,4.0574166405767266e-05,Epithelial cells
PPP2R2A,1.6856104,0.22479843,0.09187086329731196,0.37454423798681474,Epithelial cells
PKMYT1,-1.4486356,-4.2343025,0.14743938662614653,0.5393265744881429,Epithelial cells
TXNRD1,-5.160247,-1.0793324,2.466243624474685e-07,3.596884633675604e-06,Epithelial cells
TXN,-13.924155,-0.97552115,4.518529108237518e-44,5.35873770504821e-42,Epithelial cells
