names,scores,logfoldchanges,pvals,pvals_adj,tested_group
EXO1,-1.2504747,-24.640787,0.21112617645091225,0.5558899432073389,Dendritic cells
XRCC2,-1.3341799,-3.6435933,0.18214490058554278,0.4962822575853425,Dendritic cells
POLE2,-1.516138,-3.3348107,0.1294844617014079,0.37813288951760293,Dendritic cells
RAD51,-1.5310383,-3.9952846,0.12575992751038123,0.3695069039759317,Dendritic cells
FANCA,-1.8738936,-0.81066144,0.060945085514439994,0.20530357480892156,Dendritic cells
BRCA1,-2.0643597,-2.158187,0.03898363775876123,0.14090765313092182,Dendritic cells
CHEK1,-2.1102388,-1.8647776,0.03483779613036361,0.12830991503849024,Dendritic cells
TTK,-2.2091134,-5.319709,0.02716676238031848,0.10359598184391881,Dendritic cells
FANCI,-2.402938,-2.1497416,0.01626395366336065,0.06676547055866378,Dendritic cells
H2AFX,-2.826817,-0.71229583,0.004701318560659884,0.02276699143076492,Dendritic cells
RRM2,-3.2092798,-3.3449652,0.0013306798227910228,0.007405336736712797,Dendritic cells
FEN1,-3.9567997,-1.9263124,7.596056565665735e-05,0.0005523134643244465,Dendritic cells
TYMS,-4.6793623,-3.1461334,2.877686731076066e-06,2.6794593021213635e-05,Dendritic cells
RFC4,-5.3967013,-2.221724,6.78772682751266e-08,7.823419365951036e-07,Dendritic cells
UBE2T,-8.639307,-3.50945,5.6554948455000246e-18,1.5559861459542374e-16,Dendritic cells
CDC25A,-0.35066357,-22.371674,0.7258407460678438,1.0,Granulocytes
POLQ,-0.41625705,-2.0803936,0.677221916989642,1.0,Granulocytes
EME1,-0.6716936,-23.561064,0.5017787562074494,0.9809631019974369,Granulocytes
NEIL3,-0.7457775,-23.912386,0.4558018408744441,0.9140782200448423,Granulocytes
BLM,-0.79365504,-0.01581229,0.42739629138538726,0.8702015572229991,Granulocytes
BRIP1,-0.8149224,-23.807579,0.41511671821204843,0.8515088767839861,Granulocytes
FANCB,-0.88900626,-24.175463,0.3739997060142404,0.7872804236556167,Granulocytes
RAD54B,-0.9581512,-24.245726,0.33798651553110326,0.7292081725835264,Granulocytes
RAD54L,-1.0817382,-2.776928,0.27936887403682475,0.6297100455140728,Granulocytes
CDC25C,-1.096441,-24.709692,0.2728857966059285,0.6183974128033259,Granulocytes
EXO1,-1.1359525,-24.640787,0.2559764586577563,0.5890432322238488,Granulocytes
FANCD2,-1.1506968,-2.6215456,0.24985701067999133,0.577497724015877,Granulocytes
XRCC2,-1.2593945,-3.1335833,0.20788787593609825,0.4987596694480255,Granulocytes
RAD51,-1.5162495,-25.170786,0.12945625157453508,0.3378547274413944,Granulocytes
POLE2,-1.624906,-25.087038,0.10418260691368206,0.28080701932846863,Granulocytes
TTK,-2.0694091,-26.033737,0.03850771729621416,0.11969849549394312,Granulocytes
FANCA,-2.1156197,-1.114073,0.03437717566099928,0.10867296565225824,Granulocytes
BRCA1,-2.3650093,-4.6511936,0.018029616254201145,0.06155474894786581,Granulocytes
CHEK1,-2.6176295,-25.734661,0.00885428593580179,0.032707151637937984,Granulocytes
FANCI,-2.6966524,-26.04786,0.007004034495839332,0.02650687089263481,Granulocytes
RRM2,-3.1327791,-4.312348,0.0017315975885442633,0.007520834322025422,Granulocytes
H2AFX,-4.251181,-1.3970734,2.1264601761659147e-05,0.00013048890835933157,Granulocytes
TYMS,-4.708275,-3.9921732,2.49821931504565e-06,1.750929263636816e-05,Granulocytes
FEN1,-4.9012556,-4.9620185,9.52261555252905e-07,7.039799745575364e-06,Granulocytes
RFC4,-5.935789,-4.073439,2.9243552826366925e-09,2.9588907760957606e-08,Granulocytes
UBE2T,-8.560625,-4.698613,1.1225711698901301e-17,2.4558151622460485e-16,Granulocytes
CDC25A,-0.5370062,-4.068885,0.5912633432647996,1.0,Fibroblasts
POLQ,-0.73149824,-3.0475247,0.46447487171526336,0.9065806000452759,Fibroblasts
EME1,-0.8571001,-1.4754963,0.39138953519275665,0.8040095174125614,Fibroblasts
BRIP1,-1.0520164,-1.6879008,0.29279202315562536,0.648208799518612,Fibroblasts
NEIL3,-1.106691,-3.7664654,0.2684275640560032,0.6061206835227899,Fibroblasts
RAD54B,-1.2020031,-1.2465459,0.22936233797781014,0.5357890899496159,Fibroblasts
FANCD2,-1.2736783,-0.9250871,0.2027774451482236,0.48499991206081333,Fibroblasts
FANCB,-1.3015068,-3.5760603,0.19308505618850058,0.4671232092651368,Fibroblasts
CDC25C,-1.6428264,-3.44221,0.10041884387933894,0.2717024266490327,Fibroblasts
RAD54L,-1.7486594,-3.7764711,0.08034992105385312,0.2255198398923358,Fibroblasts
EXO1,-1.7905303,-3.707997,0.07336868954477636,0.2088977358494372,Fibroblasts
RAD51,-2.0802898,-2.2253735,0.03749895086156791,0.11748663233644463,Fibroblasts
XRCC2,-2.0815792,-3.6909697,0.03738092465994927,0.11714942633694533,Fibroblasts
BLM,-2.1031845,-2.7568896,0.03544964904638792,0.11181228190961073,Fibroblasts
POLE2,-2.3413,-2.528276,0.01921671498996473,0.06520256570830828,Fibroblasts
CHEK1,-3.0798697,-1.3128937,0.0020709106806308815,0.008829485405232857,Fibroblasts
TTK,-3.0868912,-3.9163442,0.0020226164914450796,0.00864976606599582,Fibroblasts
BRCA1,-3.3095353,-2.135148,0.00093450959336617,0.004271258553208907,Fibroblasts
FANCA,-3.621447,-1.8808967,0.0002929596793226681,0.0014698865406763927,Fibroblasts
FANCI,-3.7774951,-2.4465134,0.00015841361705300574,0.0008349787211825446,Fibroblasts
RRM2,-4.270342,-2.333062,1.951735112281095e-05,0.00011780993111446534,Fibroblasts
