,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
FANCI,0.7986778846153846,0.20132211538461542,1.3780514897372305,1.4170413e-05,4.644466e-06,3.0160592e-09,0.25,1.4252262,1.3699255,1.4320902,-4.118679,7.518939,0.10344827586206977,0.012457954403886903,0.07354525862069046,0.01158589759561482,0.16771352709045223,0.020578728191509833,False,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
H2AFX,0.7708333333333334,0.22916666666666663,1.2130226091824645,5.4305056e-05,2.0746329e-05,3.0160592e-09,0.25,1.0929177,1.0245943,1.1644535,-3.89779,5.8102026,0.23908943965517535,0.09256260122087977,0.15086206896551968,0.07960632864083739,0.3419836328563242,0.15396641298385758,False,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
RAD51,0.7630208333333334,0.23697916666666663,1.1693130734082182,1.0019467e-05,3.708619e-06,3.0160592e-09,0.25,1.2567549,1.2956467,1.4472702,-4.534813,6.0782375,0.05522629310344855,0.009094306714837432,0.04135237068965529,0.008097670362526482,0.09942952432403473,0.012266947022601945,False,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
RRM2,0.7594150641025641,0.2405849358974359,1.1494752650390194,5.1979914e-05,1.3811192e-05,3.0160592e-09,0.25,1.6493872,1.6453185,1.9747224,-6.900278,7.733716,0.2289870689655185,0.038121340475893904,0.08970905172413908,0.015572443004858633,0.44173274042784977,0.03992270556161763,False,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
BRIP1,0.7558092948717948,0.24419070512820518,1.1298395627622906,4.1005997e-06,1.2717779e-06,3.0160592e-09,0.25,1.5700486,1.5212908,1.9478128,-6.3043976,8.497212,0.026400862068965462,0.0047340226734770155,0.022225215517241322,0.004609443129438146,0.03250418830524154,0.006956237802552404,False,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
RAD54L,0.7453926282051282,0.2546073717948718,1.0741884312967571,1.2936021e-05,4.167276e-06,3.0160592e-09,0.25,1.3998969,1.3763337,1.7409271,-5.1958,7.699176,0.038658405172413854,0.002865329512893982,0.03165409482758612,0.0024915908807773756,0.061298654163453134,0.003448182241891919,False,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
EXO1,0.7439903846153846,0.2560096153846154,1.0668130813551726,4.319709e-06,1.2672666e-06,3.0160592e-09,0.25,1.465669,1.4838791,1.9186789,-7.006651,7.6443768,0.0413523706896552,0.0033636476890494572,0.030980603448275766,0.002865329512893982,0.05899669361875385,0.00274325172185379,False,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
TYMS,0.7169471153846154,0.2830528846153846,0.9293683067004422,5.6228637e-05,2.0565803e-05,3.0160592e-09,0.25,1.2320698,1.2081404,1.694083,-4.971924,7.104394,0.2669719827586219,0.0534446243926748,0.1330818965517262,0.022299738382957568,0.41144852280305266,0.05728344392522047,False,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
FANCD2,0.7035256410256411,0.2964743589743589,0.8641435684812405,5.081621e-06,2.2297695e-06,3.0160592e-09,0.25,1.0844103,1.02353,1.5286523,-4.4852276,7.270504,0.03838900862068971,0.013952908932353332,0.033539870689655124,0.01308085212408125,0.055742164925466214,0.01881212690155268,False,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
BRCA1,0.694511217948718,0.30548878205128205,0.8212952383077012,1.2127316e-05,4.8586244e-06,3.0160592e-09,0.25,1.0403835,1.010725,1.6252196,-5.552553,7.692134,0.09226831896551792,0.02142768157468548,0.0666756465517248,0.01918524978198584,0.11451302353592634,0.026113359157105272,False,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
FANCA,0.6500400641025641,0.3499599358974359,0.6192153058131019,1.6687516e-05,1.0126482e-05,3.0160592e-09,0.25,0.7309419,0.72078514,1.2656833,-4.113555,5.3785706,0.09630926724138023,0.037872181387816214,0.07327586206896632,0.03525601096299996,0.11583185952115005,0.05380275047397784,False,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
CDC25C,0.6450320512820513,0.3549679487179487,0.5972724947049763,6.4841074e-06,2.490354e-06,3.0160592e-09,0.25,0.9579932,0.8546114,1.8025117,-5.725337,7.1806707,0.04108297413793112,0.0021178522486607694,0.02990301724137922,0.0019932727046219007,0.0703278003465587,0.003854973936905006,False,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
CDC25A,0.5939503205128205,0.4060496794871795,0.3803201571887226,1.9708257e-06,1.0701386e-06,3.0160592e-09,0.25,0.64510566,0.6385803,1.5809815,-6.8253517,6.290736,0.0099676724137931,0.0013703749844275568,0.009563577586206894,0.001245795440388688,0.011353842383066425,0.002047881135734227,False,Cancer cells_vs_Macrophages,Cancer cells,Macrophages
