,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,celltype
LGALS7,0.462,0.538,-0.1522936660223847,2.5087174e-06,3.5890407e-05,1.271431e-07,0.5,-0.4762594,-0.22117996,4.234008,-14.6254635,13.923216,0.03197879,0.10172451,1.0,1.0,0.34265503,0.8614189,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
VSIG2,0.4618,0.5382,-0.1530983382984682,1.0918669e-05,2.5805626e-05,1.271431e-07,0.5,0.36029762,0.28290844,2.5027823,-8.66226,9.070296,0.060619205,0.21974507,1.0,1.0,0.58744615,1.8985969,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
DPYSL3,0.4616,0.5384,-0.15390306004640142,6.062601e-05,0.00011932757,1.271431e-07,0.5,0.4775667,0.26120996,2.988197,-8.292541,13.586981,0.08608372,0.36884785,1.0,1.0,0.8299833,3.1271603,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
TNFAIP6,0.4614,0.5386,-0.15470783153133105,3.5689936e-05,0.00012174407,1.271431e-07,0.5,-0.12151001,-0.21635294,2.8382196,-8.493365,11.09366,0.1285802,0.3762841,1.0,1.0,1.2645228,3.6373384,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
CLGN,0.4694,0.5306,-0.12255315582951298,1.1521645e-05,4.0595205e-05,1.271431e-07,0.5,0.17513406,0.32967663,3.27207,-10.872796,10.867073,0.09907705,0.29071146,1.0,1.0,1.0305587,2.4913025,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
IGLV1-50,0.4614,0.5386,-0.15470783153133105,7.3035545e-07,2.0850619e-06,1.271431e-07,0.5,0.7691581,0.69774914,3.847146,-12.442711,13.664961,0.0068089366,0.023545694,1.0,1.0,0.06635118,0.36366597,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
IGLV3-21,0.4612,0.5388,-0.15551265301850026,0.000470111,0.0009149141,1.271431e-07,0.5,0.20134145,0.11095619,3.4483073,-9.791035,10.993883,0.9575856,1.3784423,1.0,1.0,9.622407,16.24518,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
SCG5,0.4612,0.5388,-0.15551265301850026,1.716811e-05,3.604849e-05,1.271431e-07,0.5,-0.30123046,-0.31526375,2.2261307,-6.192725,10.14541,0.046617705,0.246362,1.0,1.0,0.45811632,2.1422212,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
CXCL8,0.4612,0.5388,-0.15551265301850026,0.0017661137,0.0032507915,1.271431e-07,0.5,0.3138442,0.2978034,2.351401,-7.2193213,10.6506195,2.0953207,2.3313816,1.0,1.0,21.20908,22.618792,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
UGT2B15,0.4612,0.5388,-0.15551265301850026,1.3675694e-06,1.01396945e-05,1.271431e-07,0.5,0.36781728,0.39471436,4.316516,-16.31512,14.065504,0.008474091,0.06281978,1.0,1.0,0.08361953,0.55870366,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
TNFSF15,0.461,0.5389999999999999,-0.15631752477325034,3.3171367e-05,6.6086905e-05,1.271431e-07,0.5,0.38326982,0.1299982,3.511411,-9.136467,11.485816,0.244634,0.3317436,1.0,1.0,2.3907044,3.1957712,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
