,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,celltype
EPYC,0.6324,0.36760000000000004,0.5425267034630799,2.7109868e-07,1.402719e-06,1.0703166e-07,0.5,-2.018162,-2.0318718,2.7832315,-13.1457405,11.620193,0.0019142911,0.023780446,1.0,1.0,0.014213829,0.22611047,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
MMP12,0.632,0.368,0.5408064446267986,3.9176113e-05,0.0002545261,1.0703166e-07,0.5,-1.9209516,-1.8494601,4.205385,-15.264526,12.552165,0.15985613,0.48100135,1.0,1.0,1.2150025,4.9175262,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
PPIF,0.6318,0.36819999999999997,0.5399466082376487,0.0005312868,0.0011832623,1.0703166e-07,0.5,-0.9102746,-1.0819826,1.9409963,-6.2913194,7.5077333,1.2518076,1.9716643,1.0,1.0,9.67674,19.651094,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
SCGB3A1,0.6314,0.36860000000000004,0.5382275195963093,0.0008882662,0.0006347838,1.0703166e-07,0.5,1.7353662,1.785986,3.86166,-12.42733,14.730773,1.4798492,0.9284829,1.0,1.0,11.05629,8.5935,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
FMO2,0.6308,0.3692,0.5356503412274815,3.593338e-05,6.1756575e-05,1.0703166e-07,0.5,2.0370228,2.0375428,4.141813,-11.859315,15.302836,0.21229708,0.13643707,1.0,1.0,1.5299584,1.167151,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
TUBB3,0.6306,0.36939999999999995,0.5347916681328087,0.00030328482,0.0002115999,1.0703166e-07,0.5,1.0703043,1.0428429,1.9901719,-6.2261467,11.01489,1.232884,0.8085067,1.0,1.0,9.592219,7.3987947,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
RCN3,0.6304,0.36960000000000004,0.5339331875828076,9.39562e-05,7.223465e-05,1.0703166e-07,0.5,1.2519321,1.1835408,2.0773156,-6.209055,8.05926,0.6665262,0.29246634,1.0,1.0,5.2093143,2.732147,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
PODN,0.6304,0.36960000000000004,0.5339331875828076,2.1640843e-05,2.4570532e-05,1.0703166e-07,0.5,1.3083049,1.251801,2.7258272,-7.65394,14.637005,0.17639136,0.11644951,1.0,1.0,1.3194326,1.0367273,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
HP,0.6302,0.3698,0.5330748991964842,0.0003828338,0.00032031423,1.0703166e-07,0.5,1.9739372,2.0464048,4.4229126,-12.244048,13.8360615,1.1436161,0.6920628,1.0,1.0,8.695269,6.3966293,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
COL17A1,0.63,0.37,0.5322168025932974,3.3940134e-05,3.0888994e-05,1.0703166e-07,0.5,1.5916859,1.4277096,3.0983856,-10.181379,13.287314,0.21681547,0.17345376,1.0,1.0,1.6181233,1.4948316,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
IGKV1-8,0.63,0.37,0.5322168025932974,0.000121967176,0.00016788271,1.0703166e-07,0.5,1.8279592,1.9896073,3.929592,-13.026047,13.409655,0.43697584,0.4330995,1.0,1.0,3.379233,5.1030817,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
SFTPB,0.6296,0.37039999999999995,0.5305011832164299,0.0027330786,0.002829883,1.0703166e-07,0.5,2.454234,2.3245692,4.9593806,-14.673476,16.20693,2.2425122,1.5994705,1.0,1.0,16.761084,14.865483,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
ODAPH,0.6294,0.37060000000000004,0.5296436596839242,1.4680304e-06,3.8860426e-06,1.0703166e-07,0.5,-1.3044434,-1.3704395,2.4360478,-10.828008,8.696899,0.007751185,0.036810484,1.0,1.0,0.059118018,0.36698812,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
TRAV1-2,0.6292,0.3708,0.5287863264169044,4.900668e-05,0.00022370837,1.0703166e-07,0.5,-1.3099982,-1.6602764,3.2713897,-9.876812,13.400915,0.08651866,0.5339506,1.0,1.0,0.61953855,5.00685,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
AC108134.2,0.629,0.371,0.527929183037079,3.6462934e-05,2.0525713e-05,1.0703166e-07,0.5,1.4631381,1.2691674,2.528765,-6.8747845,13.81627,0.29545394,0.09438197,1.0,1.0,2.321257,0.9015802,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
SERPINB5,0.629,0.371,0.527929183037079,3.253932e-06,1.5937128e-05,1.0703166e-07,0.5,-1.7936938,-1.8008709,3.6081865,-13.73158,11.444478,0.037072606,0.117728785,1.0,1.0,0.25419468,0.9924425,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
IGHG4,0.6282,0.3718,0.5245025008395193,0.0004072332,0.00021700928,1.0703166e-07,0.5,1.3481925,1.4360852,2.7467961,-8.029601,9.738392,0.66370475,0.6324411,1.0,1.0,5.351922,7.6219034,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
IGHV1OR15-2,0.628,0.372,0.5236463012368989,7.5052344e-07,5.2954415e-06,1.0703166e-07,0.5,-2.0781999,-2.0036974,3.6240108,-13.2824545,8.837814,0.0019223084,0.021695578,1.0,1.0,0.019101504,0.35673562,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
NR0B2,0.628,0.372,0.5236463012368989,3.5165563e-06,5.5868404e-06,1.0703166e-07,0.5,1.9482737,2.0390577,4.0235777,-14.906037,16.268112,0.028527325,0.047738586,1.0,1.0,0.20001772,0.41321254,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
CLDN4,0.628,0.372,0.5236463012368989,0.00018892983,0.0009400198,1.0703166e-07,0.5,-1.3046587,-1.2080207,2.7543225,-9.907082,11.993204,0.6638501,1.4982122,1.0,1.0,4.796629,13.35313,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
NUSAP1,0.6278,0.3722,0.5227902892610672,8.741837e-05,0.00029785355,1.0703166e-07,0.5,-1.0687217,-1.1910038,2.4382675,-9.352098,10.466196,0.35452443,0.7176134,1.0,1.0,2.662971,6.688243,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
IGHV1-18,0.6278,0.3722,0.5227902892610672,0.005413016,0.0033248898,1.0703166e-07,0.5,1.9840525,2.2751632,5.172057,-15.439569,14.713232,1.4177892,1.3651783,1.0,1.0,11.517322,17.078024,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
MUC21,0.6268,0.3732,0.5185130306674457,9.043912e-06,1.0601501e-05,1.0703166e-07,0.5,2.0755293,2.2368708,4.359821,-12.802546,15.26299,0.08401851,0.09718206,1.0,1.0,0.59461856,0.83319664,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
OTOA,0.6266,0.37339999999999995,0.5176581365886823,4.84977e-05,3.0776242e-05,1.0703166e-07,0.5,1.3091209,1.3237772,2.534123,-6.501564,10.520417,0.31831333,0.229885,1.0,1.0,2.4669402,2.3935037,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
TRBV12-5,0.6266,0.37339999999999995,0.5176581365886823,2.3015218e-05,0.00039012052,1.0703166e-07,0.5,-1.7195696,-2.0108237,4.346887,-14.684563,16.88261,0.042758066,0.361152,1.0,1.0,0.30748242,3.4932923,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
OSM,0.6262,0.3738,0.515948903087908,0.00014183258,0.00033770845,1.0703166e-07,0.5,-0.8247053,-1.22436,2.6390212,-8.060934,10.839865,0.51982254,0.8165962,1.0,1.0,3.988074,8.314849,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
TAGLN,0.626,0.374,0.51509456292204,0.00045005922,0.00057444954,1.0703166e-07,0.5,1.0076808,1.1650224,2.3912861,-7.84006,11.0184355,1.4134548,0.78142726,1.0,1.0,10.767845,7.184387,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
GCHFR,0.626,0.374,0.51509456292204,0.0002716141,0.0007230947,1.0703166e-07,0.5,-0.85645217,-0.95916605,1.7598946,-5.95178,7.1863823,0.98882025,1.7044787,1.0,1.0,7.5284815,16.396889,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
PLA2G10,0.626,0.374,0.51509456292204,4.181877e-05,7.678791e-05,1.0703166e-07,0.5,1.9527576,1.7618666,4.374994,-13.492485,12.611671,0.31633762,0.40188363,1.0,1.0,2.269845,3.4754725,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
TM4SF19,0.6254,0.37460000000000004,0.512532644308378,3.3896517e-06,1.2109656e-05,1.0703166e-07,0.5,-1.2271838,-1.5189705,3.2682395,-10.255228,13.422141,0.022615427,0.10374381,1.0,1.0,0.17328566,1.0793326,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
IGFBP2,0.6254,0.37460000000000004,0.512532644308378,0.0001836599,0.0002902357,1.0703166e-07,0.5,1.1281363,1.4194393,2.8709717,-7.612582,12.762202,1.3838044,0.89435685,1.0,1.0,10.794972,7.9665794,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
C19orf33,0.6254,0.37460000000000004,0.512532644308378,0.00020384336,0.00024907241,1.0703166e-07,0.5,1.0740585,1.2841539,2.4458227,-6.976589,11.09113,1.0803766,0.86939275,1.0,1.0,8.050295,7.5912256,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
SLURP2,0.6252,0.3748,0.5116790374970397,6.5819077e-06,2.7691087e-06,1.0703166e-07,0.5,2.010894,2.0189476,3.986085,-10.721362,15.646042,0.122471206,0.017775347,1.0,1.0,0.9931406,0.14727002,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
SFTA2,0.6252,0.3748,0.5116790374970397,0.0003267025,0.00044659709,1.0703166e-07,0.5,2.1681557,2.1929436,4.387279,-13.234811,12.800689,1.0002723,0.85058206,1.0,1.0,7.3206944,7.546802,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
CTSD,0.624,0.376,0.5065612144094298,0.0034172996,0.005935085,1.0703166e-07,0.5,-0.5888105,-0.8222103,1.437891,-5.402728,7.3757806,3.2243433,3.5589411,1.0,1.0,25.08969,35.27389,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
OVOL1,0.6236,0.37639999999999996,0.5048567189408364,2.1254746e-05,6.638617e-05,1.0703166e-07,0.5,-1.0348927,-1.1715426,2.302704,-8.59512,8.583718,0.09185258,0.29422176,1.0,1.0,0.66220266,2.6084597,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
KLF4,0.6236,0.37639999999999996,0.5048567189408364,0.00093994703,0.00060498045,1.0703166e-07,0.5,1.7014937,1.2730527,2.7325664,-6.354492,13.047609,2.4961026,1.3166759,1.0,1.0,19.464033,12.679067,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
ADM,0.6234,0.37660000000000005,0.5040047405978776,0.00037755337,0.00033190005,1.0703166e-07,0.5,1.4439774,1.287261,2.489453,-6.133031,10.223552,1.5684587,0.7423207,1.0,1.0,12.339474,7.21786,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
EMILIN1,0.6232,0.3768,0.5031529413612658,4.850871e-05,5.9596427e-05,1.0703166e-07,0.5,1.5550091,1.4501691,3.1313744,-7.7081614,12.742672,0.34090292,0.16250041,1.0,1.0,2.639527,1.4829317,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
TFPI2,0.6232,0.3768,0.5031529413612658,4.126e-05,3.836113e-05,1.0703166e-07,0.5,1.2155669,1.2894807,2.5816712,-7.7292557,11.491088,0.32304874,0.2827381,1.0,1.0,2.429114,2.4540708,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
TRBV29-1,0.623,0.377,0.5023013208656081,8.737869e-05,0.00030474213,1.0703166e-07,0.5,-1.0586886,-1.3594737,3.0290132,-10.72658,13.632916,0.14414209,0.78221166,1.0,1.0,1.041453,7.3781757,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
PHLDA2,0.623,0.377,0.5023013208656081,0.000506641,0.0009790156,1.0703166e-07,0.5,-0.7360881,-0.89862585,1.700382,-7.107239,7.929035,1.3956392,1.7914907,1.0,1.0,10.6897955,17.01492,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
CFAP53,0.6218,0.3782,0.49719533104160185,1.6622736e-05,1.4928317e-05,1.0703166e-07,0.5,1.0864373,1.1619272,2.0735016,-6.7962656,8.611821,0.13000053,0.09638803,1.0,1.0,0.9684687,0.805185,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
IGHV4-34,0.6216,0.37839999999999996,0.49634495153616975,0.00039637132,0.00046345234,1.0703166e-07,0.5,1.7736275,1.6099768,3.7596107,-11.921602,13.087676,0.79371303,0.8893902,1.0,1.0,6.374053,11.361977,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
TRAV12-2,0.6216,0.37839999999999996,0.49634495153616975,9.669383e-05,0.00048686596,1.0703166e-07,0.5,-1.2092476,-1.4266229,3.2288425,-10.73723,12.832294,0.13139579,0.7164317,1.0,1.0,0.950053,6.74587,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
PTN,0.6212,0.3788,0.4946447196613289,3.1912914e-05,2.8230306e-05,1.0703166e-07,0.5,1.1763201,1.1471019,2.5299592,-9.178231,11.503919,0.22626764,0.14751367,1.0,1.0,1.7042903,1.2760136,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
STEAP4,0.621,0.379,0.493794866568888,3.393958e-05,4.6038567e-05,1.0703166e-07,0.5,1.3166815,1.5167851,3.1835277,-10.215299,13.671135,0.20535253,0.28935277,1.0,1.0,1.5035825,2.6175249,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
CFH,0.6208,0.3792,0.49294518822508204,0.00013855792,0.0001122697,1.0703166e-07,0.5,1.2418805,1.2159119,2.4493966,-7.389003,11.489645,0.78480834,0.5154243,1.0,1.0,6.020005,4.6143894,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
CCL8,0.62,0.38,0.48954821513194885,0.00012266867,9.422627e-05,1.0703166e-07,0.5,1.6009125,1.531992,3.4386873,-8.631153,14.8354435,0.52285117,0.276486,1.0,1.0,4.000276,2.7543128,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
SLC38A5,0.6196,0.38039999999999996,0.48785076772280583,8.138218e-05,0.00018494076,1.0703166e-07,0.5,-0.8743653,-1.0058289,1.5943378,-6.249502,5.3551464,0.29748392,0.63991714,1.0,1.0,2.243158,6.3195634,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
TRAV13-2,0.6192,0.3808,0.48615400924767393,6.200383e-05,0.00023622542,1.0703166e-07,0.5,-1.2695125,-1.5554733,3.3403578,-11.431294,14.022063,0.08856284,0.58320683,1.0,1.0,0.62033296,5.4131494,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
AP000851.1,0.6192,0.3808,0.48615400924767393,8.752327e-07,1.0851809e-05,1.0703166e-07,0.5,-1.8621844,-2.0596638,3.9876225,-13.956965,12.765671,0.012406762,0.06861492,1.0,1.0,0.08509123,0.5732759,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
IGKV3-7,0.6188,0.3812,0.4844579368462261,1.8503239e-05,2.128288e-05,1.0703166e-07,0.5,1.7190183,1.8569317,4.0101023,-12.503232,14.991598,0.062673435,0.102765694,1.0,1.0,0.56839305,1.574256,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
ZBBX,0.6186,0.38139999999999996,0.4836101570309937,1.1167463e-05,2.5372523e-05,1.0703166e-07,0.5,2.5310755,2.784315,5.523421,-15.202574,19.453209,0.079894364,0.07887797,1.0,1.0,0.55463994,0.6421514,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
MMP1,0.6186,0.38139999999999996,0.4836101570309937,0.00030154103,0.00016495549,1.0703166e-07,0.5,1.4701276,1.44351,2.937433,-7.7340612,13.059887,1.2211643,0.5238639,1.0,1.0,9.563896,4.707841,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
AC135068.2,0.6178,0.3822,0.48022073870046533,4.1627914e-06,4.170559e-06,1.0703166e-07,0.5,2.458602,2.1869535,4.8898764,-10.949412,18.347832,0.024400596,0.011349512,1.0,1.0,0.224318,0.20397043,False,Endothelial cells vs Rest,Endothelial cells,Rest,Endothelial cells
