,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,celltype
LINC00676,0.0012,0.9988,6.724224678325067,4.1550743e-06,3.3695821e-06,0.00034839698,0.5,0.43759108,0.15774536,2.9049199,-9.046254,8.197431,0.01897908,0.041338094,1.0,1.0,0.20401856,0.37108234,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
GJB6,0.0012,0.9988,6.724224678325067,1.9300594e-06,6.288682e-06,0.00034839698,0.5,-0.950341,-0.95318127,1.8034524,-7.4430656,5.018734,0.003302297,0.07973339,1.0,1.0,0.03554557,0.71084404,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
AL161431.1,0.0012,0.9988,6.724224678325067,1.10664205e-05,3.4313891e-06,0.00034839698,0.5,2.4850972,2.7019377,2.6258488,-7.989464,7.7942324,0.023196664,0.02088802,1.0,1.0,0.26199427,0.18455912,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
PLA2G2D,0.0012,0.9988,6.724224678325067,6.2422487e-06,1.0609236e-05,0.00034839698,0.5,-0.3651879,-0.40292263,2.35487,-7.1048994,6.4742603,0.0138428975,0.05333099,1.0,1.0,0.15772003,0.5655807,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
CDC20B,0.0012,0.9988,6.724224678325067,1.516688e-05,7.684522e-06,0.00034839698,0.5,1.3346895,1.3552108,2.2466297,-6.6434126,7.807811,0.18492132,0.03782163,1.0,1.0,2.232752,0.34290513,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
TIMD4,0.0012,0.9988,6.724224678325067,2.5082766e-06,7.780902e-06,0.00034839698,0.5,-1.3013798,-1.3742895,1.9821818,-8.645177,5.7963333,0.0011729674,0.07487865,1.0,1.0,0.012403647,0.7468637,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
IGHV1-17,0.0012,0.9988,6.724224678325067,2.5467784e-06,2.7377687e-06,0.00034839698,0.5,0.17654791,0.17131996,2.42828,-10.1785755,8.049585,0.0024809428,0.015327631,1.0,1.0,0.02880096,0.18886958,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
HSD17B13,0.0012,0.9988,6.724224678325067,2.1035246e-06,2.3044229e-06,0.00034839698,0.5,0.38420713,0.38683224,2.0084643,-8.257223,6.3511076,0.011598765,0.024591044,1.0,1.0,0.12912318,0.21470241,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
CHAD,0.0012,0.9988,6.724224678325067,1.2828901e-05,1.1425982e-05,0.00034839698,0.5,0.7624329,0.78255653,2.4359286,-6.4870996,8.081529,0.03759929,0.10917506,1.0,1.0,0.41768283,1.0176995,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
MATN3,0.0012,0.9988,6.724224678325067,2.3762736e-06,6.462124e-06,0.00034839698,0.5,-0.2111499,0.08860874,2.2840188,-7.8234625,5.7029448,0.0019559376,0.034390394,1.0,1.0,0.020856503,0.29185098,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
KRTAP2-3,0.0012,0.9988,6.724224678325067,5.2648315e-06,1.4038546e-06,0.00034839698,0.5,2.1830564,2.1070976,2.3181305,-8.315966,8.863981,0.0010805306,0.0049398253,1.0,1.0,0.011484302,0.04201941,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
IL17RB,0.0014,0.9986,6.569874928627683,2.0744532e-05,1.4458235e-05,0.00034839698,0.5,1.0724528,1.1702852,1.7557503,-6.111761,7.8873377,0.10573511,0.1637616,1.0,1.0,1.1847222,1.4780278,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
HIST1H2BL,0.0014,0.9986,6.569874928627683,4.621146e-06,8.879928e-06,0.00034839698,0.5,-0.32432756,-0.3191023,1.6254476,-6.815422,6.270276,0.024184808,0.07136897,1.0,1.0,0.28118774,0.6853687,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
SHD,0.0014,0.9986,6.569874928627683,1.1975411e-05,3.907402e-06,0.00034839698,0.5,1.7425947,1.7473412,2.7091682,-7.627734,8.523048,0.011558822,0.026310548,1.0,1.0,0.12607554,0.27716276,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
BPIFA2,0.0014,0.9986,6.569874928627683,2.3833384e-06,3.258818e-06,0.00034839698,0.5,0.4570146,0.5500488,2.3146553,-10.104138,8.088001,0.008040166,0.028632587,1.0,1.0,0.072739914,0.2571552,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
ANXA13,0.0014,0.9986,6.569874928627683,2.127597e-06,3.9762253e-06,0.00034839698,0.5,-0.2276147,-0.10625553,2.3278124,-8.4116535,6.148493,0.002765367,0.027660795,1.0,1.0,0.026361184,0.22276177,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
APCDD1L,0.0014,0.9986,6.569874928627683,5.1184946e-07,1.6382329e-06,0.00034839698,0.5,-0.18411623,0.031057358,1.8277628,-9.457516,5.782898,1.2626988e-05,0.012679805,1.0,1.0,0.00013174905,0.11030549,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
CASP14,0.0014,0.9986,6.569874928627683,5.573209e-07,9.1033706e-07,0.00034839698,0.5,0.4719353,0.11500168,1.4351603,-9.040676,5.4888887,3.1264794e-05,0.0043918053,1.0,1.0,0.0003196675,0.040017,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
DENND2A,0.0016,0.9984,6.436144128404985,1.5713094e-05,8.3054965e-06,0.00034839698,0.5,1.2131997,1.3162565,2.951378,-8.551832,7.8084154,0.009616293,0.047196966,1.0,1.0,0.10265335,0.3951082,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
CT45A1,0.0016,0.9984,6.436144128404985,2.9601927e-06,1.322887e-06,0.00034839698,0.5,1.2113241,0.62428,2.2222877,-9.680165,7.203967,0.00095955323,0.011248833,1.0,1.0,0.010234037,0.09738314,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
SPRR2A,0.0016,0.9984,6.436144128404985,6.2328354e-06,6.1226965e-06,0.00034839698,0.5,0.92832404,1.0717831,2.8997874,-8.654631,7.4474716,0.011043182,0.06357289,1.0,1.0,0.11562477,0.53380674,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
KRT4,0.0016,0.9984,6.436144128404985,4.6977666e-06,4.1494927e-06,0.00034839698,0.5,1.1973042,1.501975,2.5225594,-8.635983,7.2333117,0.0034925744,0.024691163,1.0,1.0,0.037500054,0.21350473,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
SERPINB3,0.0016,0.9984,6.436144128404985,1.0037398e-06,2.4238207e-06,0.00034839698,0.5,0.3210593,0.43585587,1.802928,-11.896737,6.453747,0.0007565161,0.011359457,1.0,1.0,0.008091239,0.10686056,False,Migratory DCs vs Rest,Migratory DCs,Rest,Migratory DCs
